vendorID,donationType,note,date,donationValue
467,Sports,Nine holes tee time for 3 players for Steve Horgash's Wish,2016-10-25,69
474,Sports,"signed Wisconsin football and on-field, post-game experience at Camp Randall Stadium for Keith Thomas's Wish",2016-09-28,80
476,Sports,"3 tickets to WWE and John Cena hat, shirt, and signed photo for Victor Miller's Wish",2016-07-19,220
476,Sports,authentically signed John Cena autograph along with a letter of congratulations for a birthday for Georgia Russell's Wish,2017-10-31,50
476,Sports,John Cena items with authentic autograph,2015-02-27,100
477,Sports,two night stay in a double ocean view room and parking for Debora Anderson's Wish,2017-06-22,980
5,Travel and Transportation,discounted airfare for 31 passengers for Journey of Heroes trip,2016-10-26,2602.45
5,Travel and Transportation,Discounted airfare from Alaska Airlines for 10 round trip flights.,2018-11-15,949.9
5,Travel and Transportation,Donation of 10 round trip ticket vouchers for the Journey of Heroes veterans.,2017-11-29,12500
5,Travel and Transportation,free round-trip flight from Portland to DC for Journey of Heroes trip,2016-10-26,498.42
5,Travel and Transportation,Waived baggage fees for 35 passengers on DC trip from Portland to Washington DC and back.,2017-11-29,1750
5,Travel and Transportation,Waived baggage fees for 40 passengers on DC trip from Portland to Washington DC and back.,2018-11-15,2000
5,Travel and Transportation,waived baggage fees for one bag for 33 passengers per flight for Journey of Heroes trip,2016-10-26,1650
6,Travel and Transportation,20% discount on limo service,2015-06-23,75
6,Travel and Transportation,discounted car service from NJ to NY for Fred Lindheim's Wish,2016-12-20,85
138,Travel and Transportation,1 free Economy Class Ticket and 1 discounted Business Class Ticket for Ernest Braunstein,2015-02-11,1468
160,Travel and Transportation,discounted transportation,2015-03-29,163.4
298,Travel and Transportation,discounted charter bus service for four days for Journey of Heroes trip,2016-10-25,525
318,Travel and Transportation,discounted handicap accessible transportation services for Leslie Glancy's Wish,2016-05-03,434
394,Travel and Transportation,ride discount for Ed DelBarone's Wish,2017-07-31,39
409,Travel and Transportation,2 round-trip flights from West Palm Beach to Baltimore/Washington,2015-05-14,590
418,Travel and Transportation,limousine transportation service for Lillian Williams' Wish,2018-06-26,300
424,Travel and Transportation,complimentary airport transfers for Fabio and Milva Alvarado's Wish,2016-05-03,306.76
16,Wheelchair and Medical Equipment,golf cart for Pinellas Trail ride for Joan Thompson's Wish,2018-04-18,200
152,Wheelchair and Medical Equipment,discount on wheelchair rentals,2014-10-09,75
152,Wheelchair and Medical Equipment,discounted rate for 12 wheelchair rentals for Journey of Heroes,2016-10-25,75
353,Wheelchair and Medical Equipment,rental of portable oxygen concentrator and cannulas for Leonard Littlepage's Wish,2017-10-31,198
353,Wheelchair and Medical Equipment,rental of portable oxygen concentrator and cannulas for Mary Ann Dudash's Wish  (July 18-25),2017-07-25,198
386,Wheelchair and Medical Equipment,2 scooter rentals for 4 days for Gene's Wish of a Lifetime,2014-09-03,260
